1,on,1
2,on,2
3,on,3
4,on,4
5,on,5
6,on,6
7,on,7
8,on,8
9,on,9
10,on,10
11,on,11
12,on,12
13,on,13
14,on,14
15,on,15
16,on,16
17,on,17
18,on,18
19,on,19
20,on,20
21,on,21
22,on,22
23,on,23
24,on,24
25,on,25
26,on,26
27,off,1
28,off,2
29,off,3
30,off,4
31,off,5
32,off,6
33,off,7
34,off,8
35,off,9
36,off,10
37,off,11
38,off,12
39,off,13
40,off,14
41,off,15
42,off,16
43,off,17
44,off,18
45,off,19
46,off,20
47,off,21
48,off,22
49,off,23
50,off,24
51,off,25
52,off,26
53,off,27
54,on,27
55,on,28
56,on,29
57,on,30
58,on,31
59,on,32
60,on,33
61,on,34
62,on,35
63,on,36
64,on,37
65,on,38
66,on,39
67,on,40
68,on,41
69,on,42
70,on,43
71,on,44
72,on,45
73,on,46
74,on,47
75,on,48
76,on,49
77,on,50
78,on,51
79,on,52
80,on,53
81,off,28
82,off,29
83,off,30
84,off,31
85,off,32
86,off,33
87,off,34
88,off,35
89,off,36
90,off,37
91,off,38
92,off,39
93,off,40
94,off,41
95,off,42
96,off,43
97,off,44
98,off,45
99,off,46
100,off,47
101,off,48
102,off,49
103,off,50
104,off,51
105,off,52
106,off,53
107,on,54
108,on,55
109,on,56
110,on,57
111,on,58
112,on,59
113,on,60
114,on,61
115,on,62
116,on,63
117,on,64
118,on,65
119,on,66
120,on,67
121,on,68
122,on,69
123,on,70
124,on,71
125,on,72
126,on,73
127,on,74
128,on,75
129,on,76
130,on,77
131,on,78
132,on,79
133,on,80
134,off,54
135,off,55
136,off,56
137,off,57
138,off,58
139,off,59
140,off,60
141,off,61
142,off,62
143,off,63
144,off,64
145,off,65
146,off,66
147,off,67
148,off,68
149,off,69
150,off,70
151,off,71
152,off,72
153,off,73
154,off,74
155,off,75
156,off,76
157,off,77
158,off,78
159,off,79
160,off,80
